County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
VAN ZANDT COUNTY,TX,20.3,15.8,84.6,11.7,93.6,82.9,20156,2.7,54654,27900,4.6,842.56,7.7,87.8,51.2,59541,52579,62.4,3870,1258,2008,295,3475,453,3153,Van Zandt County,48467.0,26029,21890,19100,20395,19856,17891,-0.7205040531714626,-0.7160347190497944,-0.6654450261780105,-0.550576121598431,-0.5113819500402901,-0.3989715499413113,Republican
VANCE COUNTY,NC,19.1,14.8,80.4,8.3,45.1,39.0,16875,2.59,40529,23049,5.2,253.52,7.8,86.5,53.3,42578,45422,179.2,2930,1074,1538,1125,1677,354,2438,Vance County,37181.0,20999,19977,20854,20871,15677,12701,0.1923901138149435,0.24513190168694,0.2826316294236118,0.2663983517799818,0.1197933278050647,0.1203054877568695,Democrat
VANDERBURGH COUNTY,IN,17.4,27.0,90.1,2.8,85.4,83.1,75607,2.31,49708,29638,2.8,233.48,4.0,81.8,51.5,180136,179703,769.7,12386,3974,6648,977,10630,1183,10343,Vanderburgh County,18163.0,77662,72507,72404,77656,70654,66221,-0.0956581082125106,-0.1650323417049388,-0.1058505054969338,0.0246085299268568,-0.1796925864069975,-0.1000286918047145,Republican
VENANGO COUNTY,PA,23.1,18.7,90.2,1.1,96.8,95.9,22050,2.3,49945,26969,0.7,674.28,1.8,89.1,50.5,50454,54984,81.5,3590,1080,2022,129,3249,406,2842,Venango County,42121.0,26528,23348,22167,23288,23659,20523,-0.4140530759951749,-0.4159671063902689,-0.2648080479992782,-0.1923737547234627,-0.2302717781816645,-0.1679091750718706,Republican
VENTURA COUNTY,CA,16.2,33.8,85.0,43.2,84.1,44.7,271040,3.08,88131,38595,21.8,1843.13,38.4,89.7,50.5,843843,823318,446.7,76285,26682,39995,25161,48210,5861,67137,Ventura County,6111.0,422825,351726,326974,339800,312909,282692,0.2109170460592444,0.1764981832449121,0.0702532923107036,0.1228605061801059,-0.0366080873352955,-0.0103115758493342,Democrat
VERMILION COUNTY,IL,19.8,14.7,88.5,5.3,82.2,77.8,31151,2.4,46515,25307,2.3,898.37,4.7,88.6,50.2,74188,81625,90.9,5491,2491,2268,904,4338,605,4512,Vermilion County,17183.0,31584,30570,30314,32872,33714,32100,-0.3293439716312057,-0.2959764474975466,-0.1324140661080688,0.0058408371866634,-0.1187933796049119,-0.0117445482866043,Republican
VERMILION PARISH,LA,15.8,14.2,77.9,3.6,81.5,78.4,22086,2.69,51945,25342,2.6,1173.2,15.7,87.1,51.7,57359,57999,49.4,4612,1590,2263,786,3664,375,4015,Vermilion Parish,22113.0,27324,25632,24987,24833,24552,22235,-0.6192724344898258,-0.5932428214731585,-0.5278744947372633,-0.4752949704022873,-0.2437275985663082,-0.1704969642455588,Republican
VERMILLION COUNTY,IN,20.3,14.2,91.0,1.3,97.4,96.3,6664,2.3,50243,26493,0.8,256.88,2.1,88.6,50.1,15439,16212,63.1,1455,270,970,0,1399,165,1228,Vermillion County,18165.0,7481,6939,6581,7135,7017,6633,-0.4062291137548456,-0.3504827784983426,-0.0679228080838779,0.1391730903994393,-0.0159612369958671,0.0361827227498869,Republican
VERNON COUNTY,MO,19.7,18.9,88.3,2.3,95.6,93.6,8207,2.43,43276,24312,1.1,826.4,3.9,85.4,51.0,19707,21159,25.6,1707,397,950,0,1598,259,1309,Vernon County,29217.0,9185,8599,8521,8878,8992,8408,-0.571801850843767,-0.5612280497732295,-0.3729609200798028,-0.2199819779229556,-0.2809163701067615,-0.2175309229305423,Republican
VERNON COUNTY,WI,20.0,22.4,89.4,1.6,97.7,96.3,12071,2.5,52459,26198,1.2,791.58,9.8,92.0,49.6,30714,29773,37.6,2985,979,1380,39,2876,164,2677,Vernon County,55123.0,15923,14213,14269,14075,14845,13044,-0.0477925014130503,-0.0453106311123618,0.1473123554558833,0.2199644760213144,0.0774671606601549,0.0684605949095369,Republican
VERNON PARISH,LA,12.7,17.5,86.8,9.4,77.6,69.9,17696,2.68,49141,24554,4.0,1327.91,8.1,80.8,47.4,48750,52334,39.4,2743,829,1349,458,2115,387,2168,Vernon Parish,22115.0,17268,16633,15610,15769,15229,13827,-0.6491197590919621,-0.6496723381230085,-0.5750800768737989,-0.5334517090494008,-0.4594523606277496,-0.2993418673609604,Republican
VICTORIA COUNTY,TX,16.6,20.0,83.8,47.8,89.5,43.9,32255,2.82,56834,29199,6.8,882.14,25.1,84.0,51.0,91319,86793,98.4,8666,3169,4253,3054,5180,831,7273,Victoria County,48469.0,34188,31123,28853,29931,29602,27408,-0.3796068796068796,-0.3987083507373967,-0.3774304231795654,-0.3356386355283819,-0.4162556584014593,-0.3871497373029772,Republican
VIGO COUNTY,IN,16.7,25.1,88.4,2.8,87.6,85.2,41994,2.36,45230,25113,3.0,403.31,4.6,78.5,49.5,106153,107848,267.4,7194,2132,3479,620,6159,613,5944,Vigo County,18167.0,43594,39818,39877,43706,39744,36228,-0.1473138505298893,-0.1508363051886082,0.0086014494570805,0.1583077838283073,-0.0644625603864734,-0.0124489345257811,Republican
VILAS COUNTY,WI,31.0,29.1,93.7,2.8,86.5,84.9,10921,1.97,47072,33316,1.6,856.6,2.9,88.1,49.2,23047,21430,25.0,2550,694,1233,88,2366,262,2166,Vilas County,55125.0,15369,13612,13842,13750,14002,12322,-0.2184917691456828,-0.2497061416397296,-0.1298945239127293,-0.0410181818181817,-0.1744036566204828,-0.1827625385489369,Republican
VINTON COUNTY,OH,18.6,12.8,80.7,0.9,97.0,96.3,5140,2.53,45673,21781,0.6,412.36,3.4,89.9,49.7,12800,13435,32.6,678,254,337,0,656,62,595,Vinton County,39163.0,6030,5502,5467,5646,5930,4946,-0.5474295190713101,-0.460196292257361,-0.0768245838668373,-0.0988310308182784,-0.1011804384485665,-0.1380913869793772,Republican
VIRGINIA BEACH CITY,VA,13.7,36.0,93.5,8.2,66.3,61.7,170798,2.58,76610,37776,9.4,249.02,12.5,82.3,50.8,459470,437994,1758.9,35359,13466,18195,8893,25052,5384,27836,Virginia Beach city,51810.0,227717,203262,196641,201249,175687,149771,0.0540407611201623,-0.0353829048223475,-0.0253863639830961,-0.0071255012447267,-0.1883235526817579,-0.1429248652943494,Democrat
VOLUSIA COUNTY,FL,24.9,23.7,90.5,15.0,83.7,70.6,216495,2.43,49494,28517,7.5,1101.03,13.9,86.3,51.2,553543,494593,449.2,44316,16181,22866,10012,32791,4849,37271,Volusia County,12127.0,307439,260869,234536,243824,228939,183654,-0.1406653027104563,-0.1300116150251659,-0.0116911689463451,0.0568319771638559,0.01570287281765,0.0813867381053503,Republican
WABASH COUNTY,IL,21.4,18.2,90.6,3.2,95.8,93.0,4839,2.37,50770,27781,1.9,223.25,3.8,89.1,49.6,11361,11947,53.5,1073,353,550,0,1040,100,894,Wabash County,17185.0,5593,5464,5134,5782,6006,5508,-0.5335240479170391,-0.5300146412884333,-0.3677444487728866,-0.1369768246281563,-0.4095904095904096,-0.2576252723311547,Republican
WABASH COUNTY,IN,21.3,18.1,88.8,2.7,96.5,94.1,12862,2.29,54259,27149,1.5,412.43,3.4,85.2,51.5,30976,32888,79.7,2407,836,1235,72,2214,175,2101,Wabash County,18169.0,14576,13468,12874,13871,13602,12883,-0.4986278814489572,-0.5051232551232552,-0.3628242970327792,-0.2005623242736644,-0.4181002793706808,-0.3139020414499728,Republican
WABASHA COUNTY,MN,22.6,23.7,93.4,3.0,97.2,94.6,9020,2.36,65226,34442,1.9,522.98,3.4,89.6,49.8,21387,21676,41.4,1875,502,1067,44,1788,152,1606,Wabasha County,27157.0,13123,11832,11763,11893,11835,10531,-0.2634306179989331,-0.2639452332657201,-0.0538978151832015,-0.0243000084083073,-0.048331220954795,-0.0686544487702972,Republican
WABAUNSEE COUNTY,KS,20.9,24.2,95.4,4.6,95.4,91.4,2744,2.48,61178,27876,1.2,794.3,2.0,91.3,48.8,6877,7053,8.9,603,225,340,44,548,54,518,Wabaunsee County,20197.0,3902,3380,3267,3521,3604,3420,-0.482060481804203,-0.472189349112426,-0.4095500459136822,-0.385969894916217,-0.4245283018867924,-0.3383040935672514,Republican
WADENA COUNTY,MN,21.3,13.8,90.6,2.1,95.5,93.7,5666,2.33,46605,24214,1.5,536.27,3.3,89.0,50.4,14065,13843,25.8,1152,382,598,0,1097,162,906,Wadena County,27159.0,7677,6934,6791,7169,7093,6382,-0.4555164777908037,-0.4547158927026248,-0.2431158886761891,-0.1738038778072255,-0.2006203299027209,-0.2322156063929802,Republican
WAGONER COUNTY,OK,16.8,23.2,90.6,6.7,76.3,70.8,29208,2.7,62795,29415,3.9,561.56,6.3,86.7,50.6,80981,73085,130.1,6001,1947,3370,1023,4797,547,5159,Wagoner County,40145.0,35338,31300,28691,30251,28238,21517,-0.500905540777633,-0.5201916932907349,-0.4569028615245198,-0.4175399160358335,-0.3514413202068135,-0.2201515081098666,Republican
WAHKIAKUM COUNTY,WA,33.0,19.4,92.1,5.7,91.2,86.5,1897,2.22,53227,31110,4.7,263.38,5.2,92.4,50.1,4422,3978,15.1,337,89,177,60,237,0,283,Wahkiakum County,53069.0,2981,2358,2294,2294,2235,1971,-0.1932237504193224,-0.2171331636980492,-0.0108979947689624,0.006974716652136,-0.0671140939597316,-0.1166920345002537,Republican
WAKE COUNTY,NC,12.0,52.8,93.0,10.4,67.9,59.6,400172,2.62,80591,40982,13.5,835.22,17.2,82.1,51.4,1129410,900993,1078.8,92382,32914,48936,24275,64622,9507,78368,Wake County,37183.0,631830,527624,486427,442245,348844,268220,0.2645315986895209,0.2021401604172668,0.1144385488470006,0.1444674332100984,-0.0212559195514327,-0.0709417642233987,Democrat
WAKULLA COUNTY,FL,15.9,18.3,87.7,3.9,82.4,79.2,11200,2.58,61410,25733,2.5,606.42,5.9,88.1,45.9,33764,30776,50.8,2120,643,1274,276,1725,399,1611,Wakulla County,12129.0,18404,15351,14660,14376,11763,8587,-0.4087698326450771,-0.4015373591296984,-0.2806957708049113,-0.2480523094045632,-0.1599081866870696,-0.0784907418190287,Republican
WALDO COUNTY,ME,23.3,31.4,92.2,1.6,96.6,95.3,17236,2.26,51931,29674,2.2,729.92,3.9,87.2,50.6,39607,38786,53.1,4286,1266,2375,61,4077,607,3417,Waldo County,23027.0,24566,22707,21061,21850,21741,19138,0.0467719612472523,0.0027304355485092,0.1062627605526803,0.1164302059496568,0.0558851938733269,-0.0110774375587835,Democrat
WALKER COUNTY,AL,19.5,11.3,81.8,2.6,90.9,88.8,25019,2.53,43629,23882,1.5,791.19,2.3,86.3,51.2,65342,67023,84.7,4641,1608,2597,472,3997,367,4018,Walker County,1127.0,31170,29472,28521,28652,28367,25641,-0.6791145332050048,-0.6707722584147666,-0.5292240805020861,-0.4642607845874634,-0.3578453837205203,-0.0727350727350727,Republican
WALKER COUNTY,GA,18.9,16.6,82.0,2.5,92.7,90.5,25975,2.6,46157,24247,1.5,446.38,2.3,86.5,50.8,67654,68756,154.0,4043,1218,2397,319,3614,375,3490,Walker County,13295.0,29354,23956,21896,23542,21453,18895,-0.5929345234039654,-0.6150859909834697,-0.5011417610522471,-0.4678871803585082,-0.4360229338554048,-0.3167504630854723,Republican
WALKER COUNTY,TX,13.8,20.8,86.0,18.1,72.7,56.1,21963,2.5,43742,18544,8.3,784.17,17.5,80.7,41.9,76400,67861,86.5,4493,1519,2246,1278,2993,322,3868,Walker County,48471.0,23612,19796,18685,19146,17822,14374,-0.3172539386752498,-0.3431501313396645,-0.3151190794755151,-0.2240154601483338,-0.321681068342498,-0.2875330457770975,Republican
WALLA WALLA COUNTY,WA,18.7,29.8,88.3,21.7,91.4,71.3,22646,2.44,57858,29035,10.1,1270.13,19.4,78.5,49.1,62584,58781,46.3,3921,1110,1868,415,3178,238,3362,Walla Walla County,53071.0,31261,25419,25108,24727,22925,21362,-0.0866894853011739,-0.1556709547975923,-0.1943603632308427,-0.1658510939458891,-0.2646019629225736,-0.2863027806385169,Republican
WALLACE COUNTY,KS,24.2,32.4,94.7,9.1,95.9,88.2,636,2.44,63269,27966,3.9,913.65,4.1,86.3,49.9,1512,1485,1.6,205,0,97,0,194,0,191,Wallace County,20199.0,825,798,798,804,876,861,-0.88,-0.8458646616541354,-0.8157894736842105,-0.7388059701492538,-0.7191780821917808,-0.7363530778164924,Republican
WALLER COUNTY,TX,11.8,21.1,82.5,31.0,71.0,42.5,15171,3.11,59642,25401,13.9,513.43,26.4,86.1,50.2,56794,43205,84.1,3450,1094,1844,1141,2176,366,2871,Waller County,48473.0,22734,16784,15902,15508,13881,10858,-0.2669569807337028,-0.2849737845567207,-0.1716765186768959,-0.0717049264895537,-0.1105107701174266,-0.0589427150488119,Republican
WALLOWA COUNTY,OR,29.7,26.4,93.1,3.6,95.6,92.6,3214,2.14,51224,30485,2.2,3146.19,2.8,87.6,50.8,7391,7008,2.2,1091,346,428,0,1057,82,968,Wallowa County,41063.0,5149,4366,4205,4465,4521,4294,-0.345503981355603,-0.396701786532295,-0.3688466111771701,-0.3010078387458006,-0.4120769741207697,-0.5689333954354914,Republican
WALSH COUNTY,ND,21.5,17.2,85.4,12.0,94.3,83.5,4780,2.17,55700,34194,3.9,1281.93,7.7,87.5,48.9,10563,11119,8.7,1232,288,655,54,1104,64,1073,Walsh County,38099.0,4783,4636,5096,4882,5186,5182,-0.4162659418774827,-0.3943054357204487,-0.135204081632653,-0.0184350675952478,-0.2485537986887775,-0.2616750289463527,Republican
WALTHALL COUNTY,MS,19.9,14.4,81.7,2.2,54.3,52.9,5601,2.56,30961,21123,0.3,403.94,1.3,90.5,51.6,13884,15443,38.2,1324,598,550,466,800,84,1195,Walthall County,28147.0,7119,6919,7551,7749,6459,5895,-0.1945497963197078,-0.1829744182685359,-0.0833002251357436,-0.1028519809007614,-0.2048304691128657,-0.189991518235793,Republican
WALTON COUNTY,FL,20.2,28.5,89.1,6.5,89.6,84.0,27420,2.42,58093,34475,6.0,1037.63,8.4,82.6,49.5,75305,55043,53.0,7360,2603,3663,753,6233,921,5825,Walton County,12131.0,43711,33637,28494,27046,23976,18318,-0.5172382237880625,-0.5612866783601391,-0.520074401628413,-0.4579974857649929,-0.4730563897230564,-0.3570258761873566,Republican
WALTON COUNTY,GA,15.7,21.7,86.9,4.9,77.2,73.2,31670,2.86,61599,27889,4.8,325.68,5.3,88.7,51.2,96673,83768,257.2,7707,2875,4065,1614,5917,926,6462,Walton County,13297.0,51095,40698,37612,36026,27624,19083,-0.492416087679812,-0.5610349402919061,-0.5553546740402,-0.5214012102370511,-0.5685997683174052,-0.3920767174972488,Republican
WALWORTH COUNTY,SD,24.3,24.9,90.0,2.4,80.0,78.4,2258,2.24,55583,32563,1.1,708.63,3.6,81.1,49.9,5315,5438,7.7,690,148,374,0,633,26,578,Walworth County,46129.0,2580,2477,2462,2620,2880,2553,-0.5430232558139534,-0.5809446911586597,-0.4305442729488221,-0.2843511450381679,-0.3781249999999999,-0.4061887974931453,Republican
WALWORTH COUNTY,WI,18.4,28.8,90.8,11.2,95.8,85.3,40874,2.45,63776,32302,5.7,555.13,9.5,83.5,50.0,106478,102228,184.2,8511,2415,4918,444,7778,851,7221,Walworth County,55127.0,57600,51324,52303,50422,48446,40458,-0.1920486111111111,-0.197665809367937,-0.1233963634973137,-0.0259410574749117,-0.1976840193204805,-0.1851302585397202,Republican
WAPELLO COUNTY,IA,18.4,18.8,88.1,11.1,90.9,81.0,14481,2.37,46246,26424,7.7,431.83,11.9,85.8,50.1,35437,35625,82.5,2281,818,1008,148,1971,166,1861,Wapello County,19179.0,15633,15149,15770,15931,16707,15139,-0.2376383291754621,-0.2060201993530926,0.1188332276474318,0.1353963969618982,0.1030705692224815,0.1348834136997159,Republican
WARD COUNTY,ND,13.2,29.3,93.7,6.4,87.4,82.2,28277,2.36,68871,34923,4.7,2013.28,6.1,80.2,47.7,69919,61675,30.6,6218,1592,3615,276,5626,474,5246,Ward County,38101.0,28246,27412,25463,25621,25612,22482,-0.4489485236847695,-0.4680431927622939,-0.3058948277893414,-0.1919128839623746,-0.3424957051382165,-0.2875189040120985,Republican
WARD COUNTY,TX,13.6,12.5,78.6,55.2,90.2,38.4,3978,2.9,62986,25931,8.9,835.6,36.2,84.1,49.3,11644,10658,12.8,666,115,424,260,335,0,584,Ward County,48475.0,4060,3445,3245,3602,3768,3874,-0.6100985221674877,-0.5120464441219158,-0.4699537750385208,-0.4908384230982787,-0.5188428874734607,-0.329891584925142,Republican
WARE COUNTY,GA,17.6,15.2,81.4,4.4,66.3,62.9,13823,2.39,36869,20411,1.3,892.46,4.0,85.7,50.1,36251,36312,40.7,2898,1054,1483,570,2195,384,2320,Ware County,13299.0,14192,12184,11939,12416,11281,9628,-0.3983934611048477,-0.416365725541694,-0.3384705586732557,-0.3444748711340206,-0.3848063114972077,-0.2720191109264645,Republican
WARREN COUNTY,GA,23.1,12.3,73.2,1.7,39.5,38.3,2244,2.32,37203,23448,1.4,284.3,1.3,91.6,52.7,5215,5834,20.5,264,138,108,142,110,47,205,Warren County,13301.0,2651,2334,2526,2660,2489,2145,0.1142964918898529,0.1383890317052271,0.2133808392715757,0.1755639097744361,0.0960224989955805,0.1226107226107226,Democrat
WARREN COUNTY,IA,16.0,31.9,95.4,3.1,96.4,93.6,19258,2.51,77048,36496,1.6,569.83,2.4,86.3,50.7,52403,46225,81.1,3783,1219,1696,132,3489,284,3227,Warren County,19181.0,31039,27300,26072,24880,23053,19653,-0.1705596185444118,-0.1612820512820512,-0.0192160171831849,0.0062299035369774,-0.0620309721077517,-0.0050882816872742,Republican
WARREN COUNTY,IL,20.2,22.8,86.7,9.9,92.1,83.2,6862,2.33,50310,25730,5.9,542.41,10.0,83.7,50.6,16835,17707,32.6,969,347,409,32,893,31,788,Warren County,17187.0,7909,7807,7793,8029,8457,7631,-0.2005310405866734,-0.1649801460228,0.054664442448351,0.0808319840577905,-0.0633794489771787,-0.0491416590224085,Republican
WARREN COUNTY,IN,20.6,19.4,92.0,2.2,97.4,95.3,3357,2.43,60553,31104,0.8,364.68,0.8,88.8,50.4,8440,8508,23.3,498,204,206,0,471,79,390,Warren County,18171.0,4472,3930,3800,3998,3960,3768,-0.5427101967799642,-0.5239185750636133,-0.2771052631578947,-0.1028014007003501,-0.3053030303030303,-0.1982484076433121,Republican
WARREN COUNTY,KY,13.1,32.2,88.1,5.6,82.5,77.6,48224,2.52,52270,28558,9.2,541.6,12.0,77.4,51.0,134554,113792,210.1,11327,3372,6572,898,9930,1085,9425,Warren County,21227.0,55351,48454,43903,44145,39711,32975,-0.1682535094216906,-0.2416105997440871,-0.2181855454069197,-0.1885604258692943,-0.2713102163128604,-0.244275966641395,Republican
WARREN COUNTY,MO,17.8,19.1,88.7,3.5,94.6,91.7,12654,2.7,60125,28641,1.5,428.6,2.7,85.1,50.1,35532,32513,75.9,2621,698,1352,99,2348,187,2196,Warren County,29219.0,18375,15784,14676,15576,13432,10740,-0.4600272108843537,-0.4559047136340598,-0.2678522758244754,-0.1264766307139189,-0.1803156640857653,-0.1354748603351955,Republican
WARREN COUNTY,MS,17.2,22.4,87.1,2.2,48.4,46.8,18235,2.52,45113,25661,1.9,588.5,3.0,90.6,52.4,44722,48773,82.9,3424,1212,1816,1151,2046,368,2808,Warren County,28149.0,21053,19416,21391,21709,20117,18623,0.0036574359948701,-0.0248763906056859,0.0153803001262213,-0.0305403288958496,-0.175423770940001,-0.1829458196853353,Democrat
WARREN COUNTY,NC,26.2,15.8,81.6,3.9,40.5,38.2,7786,2.43,36466,23432,2.9,428.46,3.7,90.2,50.5,18642,20972,48.9,1031,379,571,417,580,162,821,Warren County,37185.0,10293,9842,10162,10195,8027,6795,0.2572622170407072,0.3250355618776671,0.3776815587482779,0.3946051986267778,0.2903949171546032,0.3493745401030169,Democrat
WARREN COUNTY,NJ,18.7,33.0,91.5,10.2,89.2,80.4,41587,2.5,81307,39802,9.8,356.92,12.0,90.6,51.0,109632,108692,304.5,8149,2395,4930,911,6893,696,7024,Warren County,34041.0,60787,49236,45270,48323,48208,40801,-0.1623373418658595,-0.2554431716630108,-0.1546056991385023,-0.1422097138008815,-0.2385081314304679,-0.1379623048454694,Republican
WARREN COUNTY,NY,22.9,31.3,91.9,2.8,95.5,93.3,28015,2.26,61024,35271,3.4,866.95,5.1,87.9,50.9,65737,65707,75.8,6283,1902,3727,201,5729,679,5155,Warren County,36113.0,36394,31408,29578,32206,31059,28621,-0.0015661922294883,-0.0846917982679572,0.0456758401514639,0.0264546978823821,-0.1017096493769921,-0.0978302644911079,Republican
WARREN COUNTY,OH,14.9,43.0,93.8,2.9,87.9,85.3,82957,2.67,87125,41792,6.6,401.31,8.6,86.8,49.6,242337,212693,530.0,16128,5030,9035,1240,14307,1726,13518,Warren County,39165.0,136100,117267,111004,106216,94419,69078,-0.3080014695077149,-0.3744702260653039,-0.3932470901949479,-0.3605200723054907,-0.4447409949268686,-0.422363125741915,Republican
WARREN COUNTY,PA,23.5,19.5,92.9,1.1,97.6,96.6,17115,2.28,50250,28230,1.4,884.14,3.4,91.1,49.9,38587,41815,47.3,2370,476,1697,49,2181,360,1860,Warren County,42123.0,20650,18434,17299,18494,19273,17541,-0.3956900726392251,-0.3977433004231311,-0.1742875310711602,-0.0620741862225586,-0.1533233020287448,-0.0999372897782338,Republican
WARREN COUNTY,TN,17.9,14.5,79.5,9.4,92.9,84.6,15727,2.55,41125,22802,6.2,432.68,7.0,89.1,50.3,40953,39839,92.1,3674,1054,2117,209,3309,425,3051,Warren County,47177.0,16009,13612,13015,14400,14394,13131,-0.4950965082141296,-0.4411548633558624,-0.2503265462927391,-0.2115972222222222,-0.0485619007919966,0.1390602391287793,Republican
WARREN COUNTY,VA,16.8,21.7,86.9,5.3,90.5,86.0,14651,2.64,69116,32086,4.4,213.47,6.1,88.7,50.2,40727,37575,176.0,2947,797,1735,241,2565,436,2328,Warren County,51187.0,21147,17960,16698,16126,14068,11166,-0.3530524424268217,-0.3677060133630289,-0.2046352856629537,-0.1167059407168548,-0.2387688370770543,-0.1810854379365931,Republican
WARRICK COUNTY,IN,17.9,30.3,93.2,2.0,93.6,92.0,24514,2.51,73482,37466,3.7,384.82,4.2,86.7,50.9,63898,59689,155.1,4336,1244,2486,175,4045,495,3644,Warrick County,18173.0,33829,29589,24630,28665,26025,22309,-0.2779567826421117,-0.3388759336239819,-0.2662606577344702,-0.1285190999476713,-0.3054755043227666,-0.1997400152404858,Republican
WASATCH COUNTY,UT,12.3,39.9,94.6,13.7,95.4,83.2,9879,3.19,85166,35641,7.6,1175.5,12.4,82.0,49.1,34788,23530,20.0,2945,940,1575,99,2758,233,2594,Wasatch County,49051.0,17790,12120,9589,8531,7512,5675,-0.2590219224283305,-0.2518151815181518,-0.524455104807592,-0.297503223537686,-0.4857561235356763,-0.4128634361233479,Republican
WASCO COUNTY,OR,21.0,19.6,86.4,19.2,91.0,73.6,10305,2.42,53105,27445,8.0,2381.52,15.5,86.0,49.8,26670,25213,10.6,1967,551,998,156,1689,130,1671,Wasco County,41065.0,14130,11964,10873,11380,12002,10664,-0.0305024769992922,-0.087930458040789,-0.0016554768693093,0.0705623901581722,-0.0356607232127978,-0.0693923480870217,Republican
WASECA COUNTY,MN,18.6,21.4,93.0,6.4,94.5,88.7,7425,2.38,56762,29929,3.6,423.36,5.1,88.1,51.6,18968,19136,45.2,1442,467,786,50,1298,51,1312,Waseca County,27161.0,10389,9653,9747,9888,9800,8864,-0.301087688901723,-0.3241479332849891,-0.076536370165179,-0.0819174757281553,-0.130408163265306,-0.1031137184115523,Republican
WASHAKIE COUNTY,WY,22.2,23.4,89.8,14.2,94.5,82.2,3365,2.34,54158,28101,1.6,2238.55,7.3,86.9,49.2,7685,8533,3.8,847,258,328,71,727,76,685,Washakie County,56043.0,4032,3814,3944,4100,4114,4051,-0.6433531746031745,-0.6237545883586786,-0.5628803245436106,-0.4668292682926829,-0.5700048614487117,-0.5756603307825228,Republican
WASHBURN COUNTY,WI,27.4,23.0,92.2,2.0,95.4,93.9,7236,2.14,50280,29584,1.1,797.11,1.9,88.9,50.4,16623,15911,20.0,2041,532,1068,52,1943,152,1742,Washburn County,55129.0,10378,9148,9287,9112,9567,8045,-0.2377143958373482,-0.2317446436379536,-0.027134704425541,0.0428007023705004,-0.0059579805581687,-0.0269732753262896,Republican
WASHINGTON COUNTY,AL,19.7,12.7,82.6,1.6,66.0,65.0,5990,2.74,41370,26752,2.7,1080.21,1.3,93.4,51.0,15388,17581,16.3,1176,402,583,341,789,132,998,Washington County,1129.0,8876,8533,8778,8775,8247,7596,-0.4851284362325371,-0.4298605414273995,-0.3172704488493962,-0.2948148148148148,-0.2322056505395902,-0.09623486045287,Republican
WASHINGTON COUNTY,AR,12.1,33.3,85.0,17.1,86.3,70.4,87325,2.57,50451,27790,11.1,941.97,18.0,81.0,50.0,245871,203065,215.6,18555,5948,9550,2400,15226,1629,15097,Washington County,5143.0,94266,81861,70460,68380,64103,51459,-0.0390384656185686,-0.0990703753924335,-0.1625319330116378,-0.1307692307692308,-0.1268115376815438,-0.1322606346800365,Republican
WASHINGTON COUNTY,CO,21.4,15.4,91.9,10.9,95.7,85.7,2087,2.19,50094,27860,2.8,2518.03,4.9,77.0,47.9,4817,4814,1.9,308,94,124,0,287,28,232,Washington County,8121.0,3008,2733,2591,2513,2530,2445,-0.7400265957446808,-0.7328942553969996,-0.6206098031648012,-0.5650616792678074,-0.6304347826086957,-0.5730061349693252,Republican
WASHINGTON COUNTY,FL,17.2,12.5,81.3,3.8,80.2,77.1,8827,2.48,37022,18401,3.2,582.8,5.3,85.6,45.8,25318,24896,42.7,1402,490,795,221,1134,217,1133,Washington County,12133.0,12327,11156,10999,11131,10366,8029,-0.6107730996998458,-0.5712621011115095,-0.4744067642512956,-0.4774952834426376,-0.4299633416939996,-0.2735085315730477,Republican
WASHINGTON COUNTY,GA,17.8,12.3,81.3,2.6,44.1,42.2,7503,2.46,38068,20303,1.9,678.45,2.9,83.7,48.9,19988,21187,31.2,1530,649,669,633,831,168,1251,Washington County,13303.0,9459,8461,8808,8863,7847,6691,0.0070832011840574,0.0060276563054012,0.0770890099909173,0.0441159878145097,-0.044348158531923,0.0469287102077417,Democrat
WASHINGTON COUNTY,IA,20.0,21.8,91.4,6.5,96.3,90.4,8832,2.46,62556,30547,4.1,568.84,8.8,87.8,50.7,22565,21704,38.2,2147,676,1093,77,1971,240,1780,Washington County,19183.0,11765,10929,11004,10626,10688,9094,-0.2065448363790905,-0.2040442858449995,-0.0406215921483097,-0.0072463768115941,-0.1293038922155688,-0.0984165383769518,Republican
